Date,Close,AdjClose,RSI14
2016-08-19,42000.0000,28367.6250,37.2825
2016-08-22,41550.0000,28063.6836,34.9854
2016-08-23,41200.0000,27827.2891,33.2685
2016-08-24,41300.0000,27894.8301,34.2611
2016-08-25,41850.0000,28266.3105,39.5843
2016-08-26,41700.0000,28164.9961,38.6647
2016-08-29,41150.0000,27793.5176,35.4160
2016-08-30,41150.0000,27793.5176,35.4160
2016-08-31,40100.0000,27084.3223,29.8609
2016-09-01,40350.0000,27253.1797,32.5728
2016-09-02,40050.0000,27050.5527,31.0227
2016-09-05,41450.0000,27996.1387,44.3354
2016-09-06,41700.0000,28164.9961,46.3275
2016-09-07,42050.0000,28401.3945,49.0752
2016-09-08,42000.0000,28367.6250,48.6917
2016-09-09,41750.0000,28198.7695,46.7256
2016-09-12,41350.0000,27928.5977,43.6861
2016-09-13,40800.0000,27557.1191,39.8478
2016-09-19,40550.0000,27388.2656,38.2047
2016-09-20,40600.0000,27422.0352,38.7487
2016-09-21,40800.0000,27557.1191,40.9866
2016-09-22,40800.0000,27557.1191,40.9866
2016-09-23,41200.0000,27827.2891,45.5971
2016-09-26,41050.0000,27725.9707,44.2024
2016-09-27,40800.0000,27557.1191,41.9021
2016-09-28,40550.0000,27388.2656,39.6784
2016-09-29,41400.0000,27962.3730,49.4928
2016-09-30,40750.0000,27523.3477,43.6448
2016-10-04,40450.0000,27320.7227,41.2238
2016-10-05,40400.0000,27286.9531,40.8174
2016-10-06,40150.0000,27118.0977,38.7599
2016-10-07,40150.0000,27118.0977,38.7599
2016-10-10,40100.0000,27084.3223,38.3119
2016-10-11,40300.0000,27219.4102,41.2374
2016-10-12,40400.0000,27286.9531,42.7006
2016-10-13,40050.0000,27050.5527,39.0369
2016-10-14,40600.0000,27422.0352,46.7664
2016-10-17,40250.0000,27185.6367,43.0276
2016-10-18,41150.0000,27793.5176,53.3543
2016-10-19,41300.0000,27894.8301,54.8240
2016-10-20,41600.0000,28097.4512,57.6949
2016-10-21,41650.0000,28131.2285,58.1721
2016-10-24,42000.0000,28367.6250,61.4496
2016-10-25,41800.0000,28232.5371,58.6227
2016-10-26,41300.0000,27894.8301,52.1625
2016-10-27,41700.0000,28164.9961,56.3105
2016-10-28,41000.0000,27692.2012,48.4010
2016-10-31,41100.0000,27759.7461,49.4925
2016-11-01,40700.0000,27489.5742,45.3594
2016-11-02,40500.0000,27354.4902,43.4075
2016-11-03,40150.0000,27118.0977,40.1514
2016-11-04,40450.0000,27320.7227,44.0272
2016-11-07,41050.0000,27725.9707,50.8786
2016-11-08,41900.0000,28300.0781,58.6085
2016-11-09,40500.0000,27354.4902,45.8193
2016-11-10,41450.0000,27996.1387,53.2709
2016-11-11,41850.0000,28266.3105,56.0141
2016-11-14,42200.0000,28502.7051,58.3196
2016-11-15,43350.0000,29279.4434,64.8407
2016-11-16,43400.0000,29313.2109,65.0964
2016-11-17,43000.0000,29043.0410,61.2583
2016-11-18,40750.0000,27523.3477,45.1371
2016-11-21,41100.0000,27759.7461,47.4537
2016-11-22,41150.0000,27793.5176,47.7928
2016-11-23,42500.0000,28705.3379,56.0423
2016-11-24,42300.0000,28570.2461,54.6641
2016-11-25,41950.0000,28333.8496,52.2430
2016-11-28,42050.0000,28401.3945,52.8851
2016-11-29,41050.0000,27725.9707,46.1964
2016-11-30,40050.0000,27050.5527,40.6585
2016-12-01,40750.0000,27523.3477,45.5767
2016-12-02,40700.0000,27489.5742,45.2880
2016-12-05,40450.0000,27320.7227,43.7941
2016-12-06,40350.0000,27253.1797,43.1805
2016-12-07,40400.0000,27286.9531,43.6060
2016-12-08,42000.0000,28367.6250,55.1728
2016-12-09,42000.0000,28367.6250,55.1728
2016-12-12,43500.0000,29380.7500,63.3467
2016-12-13,42900.0000,28975.5000,58.7334
2016-12-14,42550.0000,28739.1035,56.1638
2016-12-15,42850.0000,28941.7305,57.8654
2016-12-16,43050.0000,29076.8086,59.0077
2016-12-19,42650.0000,28806.6484,55.7521
2016-12-20,43350.0000,29279.4434,59.9198
2016-12-21,42450.0000,28671.5586,53.0068
2016-12-22,42100.0000,28435.1641,50.5637
2016-12-23,42000.0000,28367.6250,49.8567
2016-12-26,42250.0000,28536.4785,51.6760
2016-12-27,42650.0000,28806.6484,54.5192
2016-12-28,41750.0000,28737.8086,53.6530
2016-12-29,41900.0000,28841.0625,54.8127
2017-01-02,41700.0000,28703.3984,52.9117
2017-01-03,41500.0000,28565.7344,51.0066
2017-01-04,42600.0000,29322.8926,59.6185
2017-01-05,43500.0000,29942.3926,65.0340
2017-01-06,44000.0000,30286.5586,67.6312
2017-01-09,43600.0000,30011.2227,63.5636
2017-01-10,43800.0000,30148.8867,64.7065
2017-01-11,44900.0000,30906.0508,70.2366
2017-01-12,44950.0000,30940.4707,70.4632
2017-01-13,45350.0000,31215.8008,72.2809
2017-01-16,45500.0000,31319.0586,72.9532
2017-01-17,47000.0000,32351.5449,78.5540
2017-01-18,46100.0000,31732.0527,69.2835
2017-01-19,46400.0000,31938.5449,70.5319
